Radionuclide,Element,Z,A,Metastable_State,Atomic_Mass,Is_Stable,Half_Life_Second,Half_Life_Readable,Half_Life_Value,Half_Life_Unit,Num_Decay_Modes,Decay_Modes,Branching_Ratios,Progeny,Decay_Energy_EM,Decay_Energy_LP,Decay_Energy_HP,Decay_Energy_Neutrino,Decay_Energy_Gamma,Decay_Energy_Xray,Decay_Energy_Beta_Minus,Decay_Energy_Beta_Plus,Decay_Energy_Alpha,Decay_Energy_Neutron,Decay_Energy_Proton,Decay_Effective_Q
Ra-220,Ra,88,220,,220.0110785069401,False,0.018,18.00 ms,18.0,ms,1,['α'],[np.float64(1.0)],['Rn-216'],4673.631,168.4446,7583907.0,0.0,4650.0,0.0,0.0,0.0,7448000.0,0.0,0.0,7592000.0
Lu-170,Lu,71,170,,169.9385134459284,False,173836.8,2.01 d,2.012,d,1,['β+&EC'],[np.float64(1.0)],['Yb-170'],2507155.0,53988.73,0.0,809100.0,2455000.0,0.0,0.0,0.0,0.0,0.0,0.0,3459000.0
Zr-80,Zr,40,80,,79.94042486662504,False,4.6,4.60 s,4.6,s,1,['β+&EC'],[np.float64(1.0)],['Y-80'],1877049.0,1877049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sn-105,Sn,50,105,,104.92136193347687,False,34.0,34.00 s,34.0,s,1,['β+&EC'],[np.float64(1.0)],['In-105'],2100862.0,2100862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ta-177,Ta,73,177,,176.94450071489155,False,203616.0,2.36 d,2.3566666666666665,d,1,['β+&EC'],[np.float64(1.0)],['Hf-177'],67007.33,22674.73,0.0,1073000.0,17640.0,0.0,0.0,0.0,0.0,0.0,0.0,1166000.0
Re-174,Re,75,174,,173.95320297455393,False,144.0,2.40 m,2.4,m,1,['β+&EC'],[np.float64(1.0)],['W-174'],2184664.0,2184664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am-244,Am,95,244,,244.06441672669632,False,36360.0,10.10 h,10.1,h,1,['β-'],[np.float64(1.0)],['Cm-244'],805385.4,318690.0,0.0,277500.0,776500.0,0.0,109600.0,0.0,0.0,0.0,0.0,1427000.0
Y-87M,Y,39,87,M,86.9109071178987,False,48132.0,13.37 h,13.37,h,2,"['β+&EC', 'IT']","[np.float64(0.0157), np.float64(0.9843)]","['Sr-87', 'Y-87']",307989.6,78660.41,0.0,23400.0,298400.0,0.0,0.0,0.0,0.0,0.0,0.0,410000.0
Db-263,Db,105,263,,263.1150777807011,False,28.5,28.50 s,28.5,s,3,"['α', 'β+&EC', 'SF']","[np.float64(0.4141414), np.float64(0.03030303), np.float64(0.5555555)]","['Lr-259', 'Rf-263', 'X']",22969.7,22969.7,3658525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sn-130,Sn,50,130,,129.91396925756354,False,223.2,3.72 m,3.7199999999999998,m,1,['β-'],[np.float64(1.0)],['Sb-130M'],937122.5,462309.2,0.0,742300.0,922400.0,0.0,411900.0,0.0,0.0,0.0,0.0,2148000.0
Br-74,Br,35,74,,73.92991961778311,False,1524.0,25.40 m,25.4,m,1,['β+&EC'],[np.float64(1.0)],['Se-74'],4630565.0,1054949.0,0.0,1623000.0,3698000.0,0.0,0.0,0.0,0.0,0.0,0.0,6907000.0
Am-236,Am,95,236,,236.04966331593673,False,216.0,3.60 m,3.6,m,2,"['α', 'β+&EC']","[np.float64(0.5), np.float64(0.5)]","['Np-232', 'Pu-236']",546666.7,546666.7,3198500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Es-244,Es,99,244,,244.07097305098557,False,37.0,37.00 s,37.0,s,2,"['α', 'β+&EC']","[np.float64(0.04), np.float64(0.96)]","['Bk-240', 'Cf-244']",1455040.0,1455040.0,317440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lu-183,Lu,71,183,,182.95765875340743,False,58.0,58.00 s,58.0,s,1,['β-'],[np.float64(1.0)],['Hf-183'],698091.4,1123127.0,0.0,2051000.0,667800.0,0.0,1095000.0,0.0,0.0,0.0,0.0,3763000.0
Tl-205,Tl,81,205,,204.97450178239566,True,inf,Stable,inf,s,0,[None],[np.float64(0.0)],[None],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sb-133,Sb,51,133,,132.91525278412632,False,150.0,2.50 m,2.5,m,2,"['β-', 'β-']","[np.float64(0.8271128), np.float64(0.1728872)]","['Te-133', 'Te-133M']",2183592.0,680146.5,0.0,1086000.0,2184000.0,0.0,680100.0,0.0,0.0,0.0,0.0,3944000.0
Ta-176N,Ta,73,176,N,175.9449134271,False,0.00097,970.00 μs,970.0000000000001,μs,1,['IT'],[np.float64(1.0)],['Ta-176'],2771000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
